Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.02
Trial:  10  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.5, 'signal_bag_percent': 0.6}  Lowest Error:  0.006444703544190545
Trial:  11  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.6, 'signal_bag_percent': 0.9}  Lowest Error:  0.006557780727606462
Trial:  12  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1}  Lowest Error:  0.00753229939306547
Trial:  13  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.7}  Lowest Error:  0.006874017940027494
Trial:  14  Best params:  {'K': 17, 'N_bag': 1, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1}  Lowest Error:  0.007147399755823697
Trial:  15  Best params:  {'K': 25, 'N_bag': 100, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.6}  Lowest Error:  0.007118940068708968
Trial:  16  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 0.5, 'signal_bag_percent': 0.7}  Lowest Error:  0.006749054152047122
Trial:  17  Best params:  {'K': 13, 'N_bag': 1, 'atom_bag_percent': 1, 'signal_bag_percent': 0.9}  Lowest Error:  0.007528911684660924
Trial:  18  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.9}  Lowest Error:  0.00639257485969587
Trial:  19  Best params:  {'K': 27, 'N_bag': 75, 'atom_bag_percent': 0.8, 'signal_bag_percent': 0.7}  Lowest Error:  0.008187057849823768
Noise level:  0.08  Avg Lowest MSE:  0.00700637839602732
Cross validating alpha under noise level:  0.1
Trial:  0  Best params:  {'K': 13, 'N_bag': 25, 'atom_bag_percent': 1, 'signal_bag_percent': 1}  Lowest Error:  0.011804923923324655
Trial:  1  Best params:  {'K': 15, 'N_bag': 1, 'atom_bag_percent': 0.6, 'signal_bag_percent': 0.8}  Lowest Error:  0.009643825313347103
Trial:  2  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1}  Lowest Error:  0.01062664683159105
Trial:  3  Best params:  {'K': 19, 'N_bag': 1, 'atom_bag_percent': 0.6, 'signal_bag_percent': 0.9}  Lowest Error:  0.010719363994424757
Trial:  4  Best params:  {'K': 17, 'N_bag': 100, 'atom_bag_percent': 1, 'signal_bag_percent': 1}  Lowest Error:  0.010625423024419487
Trial:  5  Best params:  {'K': 13, 'N_bag': 25, 'atom_bag_percent': 0.8, 'signal_bag_percent': 0.6}  Lowest Error:  0.01050881741792172
Trial:  6  Best params:  {'K': 13, 'N_bag': 10, 'atom_bag_percent': 1, 'signal_bag_percent': 1}  Lowest Error:  0.011500346781060763
Trial:  7  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1}  Lowest Error:  0.012630782598320062
Trial:  8  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 0.8, 'signal_bag_percent': 0.7}  Lowest Error:  0.010805889450409672
Trial:  9  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.8}  Lowest Error:  0.010392702637338894
Trial:  10  Best params:  {'K': 17, 'N_bag': 75, 'atom_bag_percent': 0.5, 'signal_bag_percent': 0.6}  Lowest Error:  0.00998940717644549
Trial:  11  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.6, 'signal_bag_percent': 0.8}  Lowest Error:  0.010389345267712485
Trial:  12  Best params:  {'K': 15, 'N_bag': 1, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1}  Lowest Error:  0.011684642148886653
Trial:  13  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 1, 'signal_bag_percent': 1}  Lowest Error:  0.010689806124327083
Trial:  14  Best params:  {'K': 17, 'N_bag': 1, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1}  Lowest Error:  0.011821564385707684
Trial:  15  Best params:  {'K': 31, 'N_bag': 25, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.6}  Lowest Error:  0.011173741254892743
Trial:  16  Best params:  {'K': 15, 'N_bag': 25, 'atom_bag_percent': 0.8, 'signal_bag_percent': 0.8}  Lowest Error:  0.010425085759781589
Trial:  17  Best params:  {'K': 13, 'N_bag': 1, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1}  Lowest Error:  0.011648871666377205
Trial:  18  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.5, 'signal_bag_percent': 0.9}  Lowest Error:  0.009945057281620482
Trial:  19  Best params:  {'K': 23, 'N_bag': 75, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.6}  Lowest Error:  0.012675615748137765
Noise level:  0.1  Avg Lowest MSE:  0.01098509293930237
Done!
Results are saved in:  ./memory/bomp_1000_600_20_test5_noreplace20230707-200559.pkl
